,params,rank_test_score,mean_test_score
0,"{'C': 0.1, 'random_state': 4, 'solver': 'lbfgs'}",1,0.8519375
1,"{'C': 0.01, 'random_state': 4, 'solver': 'lbfgs'}",2,0.8435
